YrTm,rank,mgr_mdsn_change,mgr_new,mgr_yrs,mgr_3+seasons
2002BAL,4,0,0,3,1
2003BAL,4,0,0,4,1
2004BAL,3,0,1,1,0
2005BAL,4,1,1,1,0
2006BAL,4,0,0,2,0
2007BAL,4,1,1,1,0
2008BAL,5,0,0,2,0
2009BAL,5,0,0,3,1
2010BAL,5,1,1,1,0
2011BAL,5,0,0,2,0
2012BAL,2,0,0,3,1
2013BAL,3,0,0,4,1
2014BAL,1,0,0,5,1
2015BAL,3,0,0,6,1
2016BAL,2,0,0,7,1
2017BAL,5,0,0,8,1
2002BOS,2,0,1,1,0
2003BOS,2,0,0,2,0
2004BOS,2,0,1,1,0
2005BOS,2,0,0,2,0
2006BOS,3,0,0,3,1
2007BOS,1,0,0,4,1
2008BOS,2,0,0,5,1
2009BOS,2,0,0,6,1
2010BOS,3,0,0,7,1
2011BOS,3,0,0,8,1
2012BOS,5,0,1,1,0
2013BOS,1,0,1,1,0
2014BOS,5,0,0,2,0
2015BOS,5,0,0,3,1
2016BOS,1,0,0,4,1
2017BOS,1,0,0,5,1
2002CHW,2,0,0,5,1
2003CHW,2,0,0,6,1
2004CHW,2,0,1,1,0
2005CHW,1,0,0,2,0
2006CHW,3,0,0,3,1
2007CHW,4,0,0,4,1
2008CHW,1,0,0,5,1
2009CHW,3,0,0,6,1
2010CHW,2,0,0,7,1
2011CHW,3,0,0,8,1
2012CHW,2,0,1,1,0
2013CHW,5,0,0,2,0
2014CHW,4,0,0,3,1
2015CHW,4,0,0,4,1
2016CHW,4,0,0,5,1
2017CHW,4,0,1,1,0
2002CLE,3,1,1,1,0
2003CLE,4,0,1,1,0
2004CLE,3,0,0,2,0
2005CLE,2,0,0,3,1
2006CLE,4,0,0,4,1
2007CLE,1,0,0,5,1
2008CLE,3,0,0,6,1
2009CLE,4,0,0,7,1
2010CLE,4,0,1,1,0
2011CLE,2,0,0,2,0
2012CLE,5,1,1,1,0
2013CLE,2,0,1,1,0
2014CLE,3,0,0,2,0
2015CLE,3,0,0,3,1
2016CLE,1,0,0,4,1
2017CLE,1,0,0,5,1
2002DET,5,1,1,1,0
2003DET,5,0,1,1,0
2004DET,4,0,0,2,0
2005DET,4,0,0,3,1
2006DET,2,0,1,1,0
2007DET,2,0,0,2,0
2008DET,5,0,0,3,1
2009DET,2,0,0,4,1
2010DET,3,0,0,5,1
2011DET,1,0,0,6,1
2012DET,1,0,0,7,1
2013DET,1,0,0,8,1
2014DET,1,0,1,1,0
2015DET,5,0,0,2,0
2016DET,2,0,0,3,1
2017DET,5,0,0,4,1
2013HOU,5,0,1,1,0
2014HOU,4,1,1,2,0
2015HOU,2,0,1,1,0
2016HOU,3,0,0,2,0
2017HOU,1,0,0,3,1
2002KCR,4,1,1,1,0
