YrTm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,Team,Year,#P,PAge,RA/G,W,L,pctwon,ERA,GS,GF,CG,tSho,cSho,SV,IP,ER,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,#Fld,A,Ch,DP,DefEff,E,Fld%,Inn,PO,Rdrs,Rdrs/yr,Rtot,Rtot/yr,mariners,payroll_opday,Payroll_avgsalary,Payroll_mediansalary,payroll_opday_log,rank,mgr_mdsn_change,mgr_new,mgr_yrs,mgr_3+seasons
2002BAL,46,29.2,4.12,162,6096,5491,667,1353,311,27,165,636,110,48,452,993,0.246,0.309,0.403,0.712,92,2213,128,64,40,49,25,1037,BAL,2002,20,27.8,4.77,67,95,0.414,4.46,162,154,8,3,1,31,1450.2,719,1,54,6258,97,4.74,1.406,9.3,1.3,3.4,6.0,1.76,46,1720,6163,173,0.701,91,0.985,13056.0,4352,,,43,4,0,60493487,1890421,300000,7.781708619078537,4.0,0,0,3,1
2002BOS,39,29.9,5.3,162,6332,5640,859,1560,348,33,177,810,80,28,545,944,0.277,0.345,0.444,0.789,106,2505,139,72,22,53,39,1175,BOS,2002,18,31.1,4.1,93,69,0.574,3.75,162,157,5,17,3,51,1446.0,603,6,31,6049,122,3.74,1.223,8.3,0.9,2.7,7.2,2.69,39,1645,6087,140,0.702,104,0.983,13014.0,4338,,,62,6,0,108366060,3612202,2287500,8.034893283468653,2.0,0,1,1,0
2002CHW,35,28.9,5.28,162,6208,5502,856,1475,289,29,217,819,75,31,555,952,0.268,0.338,0.449,0.787,107,2473,111,49,48,53,17,1085,CHW,2002,16,25.8,4.93,81,81,0.5,4.53,162,155,7,7,4,35,1423.0,716,6,54,6131,99,4.61,1.37,9.0,1.2,3.3,6.0,1.79,35,1595,5961,157,0.706,97,0.984,12807.0,4269,,,13,1,0,57052833,2113068,575000,7.756277214498661,2.0,0,0,5,1
2002CLE,59,30.4,4.56,162,6099,5423,739,1349,255,26,192,706,52,37,542,1000,0.249,0.321,0.412,0.733,96,2232,149,56,39,39,35,1066,CLE,2002,31,28.1,5.17,74,88,0.457,4.91,162,153,9,4,2,34,1424.2,777,8,52,6271,90,4.16,1.482,9.5,0.9,3.8,6.7,1.75,59,1662,6049,161,0.674,113,0.981,12822.0,4274,,,-49,-5,0,78909449,2630315,1650000,7.8971290108501595,3.0,1,1,1,0
2002DET,57,28.1,3.57,161,5920,5406,575,1340,265,37,124,546,65,44,363,1035,0.248,0.3,0.379,0.679,86,2051,125,64,30,57,22,1029,DET,2002,30,28.1,5.37,55,106,0.342,4.92,161,150,11,7,4,33,1414.0,773,8,59,6215,87,4.44,1.454,10.1,1.0,2.9,5.1,1.71,56,1719,6103,148,0.678,142,0.977,12726.0,4242,,,-41,-4,0,55048000,1966000,1000000,7.740741544838336,5.0,1,1,1,0
2002KCR,52,29.3,4.55,162,6206,5535,737,1415,285,42,140,695,140,65,524,921,0.256,0.323,0.398,0.721,84,2204,106,52,44,51,27,1092,KCR,2002,26,27.8,5.5,62,100,0.383,5.21,162,150,12,6,4,30,1441.0,834,6,68,6386,96,4.91,1.498,9.9,1.3,3.6,5.7,1.59,52,1702,6157,153,0.685,130,0.979,12969.0,4325,,,-21,-2,0,47257000,1629552,800000,7.674466148003077,4.0,1,1,1,0
2002LAA,40,28.3,5.25,162,6327,5678,851,1603,333,32,152,811,117,51,462,805,0.282,0.341,0.433,0.773,105,2456,105,74,49,64,42,1165,LAA,2002,18,30.2,3.98,99,63,0.611,3.69,162,155,7,14,2,54,1452.1,595,7,52,6097,120,4.25,1.277,8.3,1.0,3.2,6.2,1.96,40,1575,6020,151,0.718,87,0.986,13071.0,4358,,,98,9,0,61721667,2204345,450000,7.790437647124174,2.0,0,0,3,1
2002MIN,42,26.6,4.77,161,6196,5582,768,1518,348,36,167,731,79,62,472,1089,0.272,0.332,0.437,0.769,103,2439,121,56,34,52,30,1124,MIN,2002,19,28.8,4.42,94,67,0.584,4.12,161,153,8,9,5,47,1444.2,662,3,62,6133,109,4.2,1.31,9.1,1.1,2.7,6.4,2.34,42,1422,5830,124,0.703,74,0.987,13002.0,4334,,,21,2,0,40225000,1547115,475000,7.604496052771067,1.0,0,1,1,0
2002NYY,38,29.9,5.57,161,6377,5601,897,1540,314,12,223,857,100,38,640,1171,0.275,0.354,0.455,0.809,114,2547,150,72,23,41,48,1191,NYY,2002,17,33.1,4.33,103,58,0.64,3.87,161,152,9,11,5,53,1452.0,625,2,59,6159,114,3.62,1.27,8.9,0.9,2.5,7.0,2.82,37,1524,6006,117,0.688,127,0.979,13068.0,4355,,,-56,-5,0,125928583,4342365,2500000,8.100124316527893,1.0,0,0,7,1
2002OAK,41,28.6,4.94,162,6291,5558,800,1450,279,28,205,772,46,20,609,1008,0.261,0.339,0.432,0.771,106,2400,128,68,20,36,37,1197,OAK,2002,17,27.4,4.04,103,59,0.636,3.68,162,153,9,19,5,48,1452.0,593,9,40,6158,118,3.87,1.284,8.6,0.8,2.9,6.3,2.15,41,1798,6257,144,0.704,102,0.984,13068.0,4357,,,-6,-1,0,40004167,1481636,812500,7.602105231599203,1.0,0,0,7,1
