YrTm,payroll_opday,Payroll_avgsalary,Payroll_mediansalary
2002BAL,"$60,493,487 ","$1,890,421 ","$300,000 "
2002BOS,"$108,366,060 ","$3,612,202 ","$2,287,500 "
2002CHW,"$57,052,833 ","$2,113,068 ","$575,000 "
2002CLE,"$78,909,449 ","$2,630,315 ","$1,650,000 "
2002DET,"$55,048,000 ","$1,966,000 ","$1,000,000 "
2002KCR,"$47,257,000 ","$1,629,552 ","$800,000 "
2002LAA,"$61,721,667 ","$2,204,345 ","$450,000 "
2002MIN,"$40,225,000 ","$1,547,115 ","$475,000 "
2002NYY,"$125,928,583 ","$4,342,365 ","$2,500,000 "
2002OAK,"$40,004,167 ","$1,481,636 ","$812,500 "
2002SEA,"$80,282,668 ","$3,211,307 ","$3,333,333 "
2002TBD,"$34,380,000 ","$1,227,857 ","$267,500 "
2002TEX,"$105,726,122 ","$3,645,728 ","$2,000,000 "
2002TOR,"$76,864,333 ","$2,650,494 ","$1,650,000 "
2003BAL,"$73,877,500 ","$2,547,500 ","$1,200,000 "
2003BOS,"$99,946,500 ","$3,701,722 ","$2,000,000 "
2003CHW,"$51,010,000 ","$1,961,923 ","$475,000 "
2003CLE,"$48,584,834 ","$1,567,253 ","$330,000 "
2003DET,"$49,168,000 ","$1,891,077 ","$320,000 "
2003KCR,"$40,518,000 ","$1,558,385 ","$313,500 "
2003LAA,"$79,031,667 ","$2,927,099 ","$1,000,000 "
2003MIN,"$55,505,000 ","$2,134,808 ","$750,000 "
2003NYY,"$152,749,814 ","$5,455,351 ","$4,575,000 "
2003OAK,"$50,260,834 ","$1,933,109 ","$1,032,500 "
2003SEA,"$86,959,167 ","$3,220,710 ","$3,150,000 "
2003TBD,"$19,630,000 ","$785,200 ","$300,000 "
2003TEX,"$103,491,667 ","$3,449,722 ","$1,150,000 "
2003TOR,"$51,269,000 ","$1,898,852 ","$600,000 "
2004BAL,"$51,623,333 ","$1,843,690 ","$887,500 "
2004BOS,"$127,298,500 ","$4,243,283 ","$3,087,500 "
2004CHW,"$65,212,500 ","$2,508,173 ","$775,000 "
2004CLE,"$34,319,300 ","$1,143,977 ","$325,000 "
2004DET,"$46,832,000 ","$1,672,571 ","$362,500 "
2004KCR,"$47,609,000 ","$1,586,967 ","$436,250 "
2004LAA,"$100,534,667 ","$3,723,506 ","$2,150,000 "
2004MIN,"$53,585,000 ","$2,060,962 ","$525,000 "
2004NYY,"$184,193,950 ","$6,351,516 ","$3,100,000 "
2004OAK,"$59,425,667 ","$2,122,345 ","$1,357,500 "
2004SEA,"$81,515,834 ","$2,911,280 ","$2,658,333 "
2004TBD,"$29,556,667 ","$1,094,691 ","$650,000 "
2004TEX,"$55,050,417 ","$1,898,290 ","$550,000 "
2004TOR,"$50,017,000 ","$1,923,731 ","$825,000 "
2005BAL,"$73,914,333 ","$2,639,798 ","$962,500 "
2005BOS,"$123,505,125 ","$4,410,897 ","$2,875,000 "
2005CHW,"$75,178,000 ","$2,784,370 ","$2,000,000 "
2005CLE,"$41,502,500 ","$1,431,121 ","$500,000 "
2005DET,"$69,092,000 ","$2,467,571 ","$962,500 "
2005KCR,"$36,881,000 ","$1,365,963 ","$352,000 "
2005LAA,"$87,575,322 ","$3,127,690 ","$925,000 "
2005MIN,"$56,186,000 ","$2,080,963 ","$750,000 "
2005NYY,"$208,306,817 ","$8,011,801 ","$5,833,333 "
2005OAK,"$55,425,762 ","$2,131,760 ","$591,666 "
2005SEA,"$87,754,334 ","$2,742,323 ","$800,000 "
2005TBD,"$29,679,067 ","$1,023,416 ","$600,000 "
2005TEX,"$55,849,000 ","$1,801,581 ","$650,000 "
2005TOR,"$45,719,500 ","$1,758,442 ","$525,000 "
2006BAL,"$72,585,582 ","$2,592,342 ","$1,512,500 "
2006BOS,"$120,099,824 ","$4,448,142 ","$3,023,894 "
2006CHW,"$102,750,667 ","$3,951,949 ","$2,325,000 "
2006CLE,"$56,031,500 ","$2,241,260 ","$1,500,000 "
2006DET,"$82,612,866 ","$2,950,460 ","$865,000 "
2006KCR,"$47,294,000 ","$1,630,828 ","$500,000 "
2006LAA,"$103,472,000 ","$4,138,880 ","$2,250,000 "
2006MIN,"$63,396,006 ","$2,438,308 ","$900,000 "
2006NYY,"$194,663,079 ","$6,952,253 ","$2,925,000 "
2006OAK,"$62,243,079 ","$2,489,723 ","$800,000 "
2006SEA,"$87,959,833 ","$3,257,772 ","$650,000 "
2006TBD,"$35,417,967 ","$1,264,927 ","$550,000 "
2006TEX,"$68,228,662 ","$2,200,925 ","$750,000 "
2006TOR,"$71,915,000 ","$2,663,519 ","$2,200,000 "
2007BAL,"$93,554,808 ","$3,341,243 ","$3,000,000 "
2007BOS,"$143,026,214 ","$5,108,079 ","$3,591,666 "
2007CHW,"$108,671,833 ","$4,179,686 ","$2,325,000 "
2007CLE,"$61,673,267 ","$2,126,664 ","$916,667 "
2007DET,"$95,180,369 ","$3,172,679 ","$1,900,000 "
2007KCR,"$67,116,500 ","$2,165,048 ","$550,000 "
2007LAA,"$109,251,333 ","$3,641,711 ","$1,425,000 "
2007MIN,"$71,439,500 ","$2,551,411 ","$1,000,000 "
2007NYY,"$189,639,045 ","$6,539,277 ","$1,500,000 "
2007OAK,"$79,366,940 ","$2,834,534 ","$1,575,000 "
2007SEA,"$106,460,833 ","$3,942,994 ","$1,350,000 "
2007TBD,"$24,123,500 ","$893,463 ","$411,000 "
2007TEX,"$68,318,675 ","$2,439,953 ","$550,000 "
2007TOR,"$81,942,800 ","$3,034,919 ","$1,025,000 "
2008BAL,"$67,196,246 ","$2,099,883 ","$477,500 "
2008BOS,"$133,390,035 ","$4,763,930 ","$2,500,000 "
2008CHW,"$120,794,332 ","$4,645,936 ","$2,775,000 "
2008CLE,"$78,970,066 ","$3,037,310 ","$2,175,000 "
2008DET,"$137,685,196 ","$4,589,507 ","$1,487,500 "
2008KCR,"$58,245,500 ","$2,240,212 ","$1,306,250 "
2008LAA,"$118,825,333 ","$4,243,762 ","$1,325,000 "
2008MIN,"$56,932,766 ","$2,277,311 ","$1,050,000 "
2008NYY,"$209,081,577 ","$6,744,567 ","$1,875,000 "
2008OAK,"$47,967,126 ","$1,713,112 ","$455,000 "
