iter	Logloss
0	0.499000009
1	0.4303502392
2	0.3967575412
3	0.3751174712
4	0.3637584154
5	0.3566154872
6	0.348574439
7	0.3431054089
8	0.3402155976
9	0.3372656368
10	0.3325179774
11	0.3295899916
12	0.3283104695
13	0.3210067159
14	0.3177209425
15	0.3159272357
16	0.3142380254
17	0.313214282
18	0.3117885617
19	0.3117882127
20	0.3060914733
21	0.3056585567
22	0.3056549248
23	0.304400021
24	0.3039881923
25	0.302102532
26	0.30210248
27	0.3010056313
28	0.3010055946
29	0.3010033799
30	0.3000341582
31	0.2990569127
32	0.2987656284
33	0.297685188
34	0.2959413899
35	0.2942014591
36	0.2892606281
37	0.2887730253
38	0.2871706568
39	0.2867036323
40	0.2854709279
41	0.2836440946
42	0.28310718
43	0.2827437909
44	0.2806970516
45	0.2801321394
46	0.279004803
47	0.2778975022
48	0.2767906373
49	0.2762110041
50	0.2749491799
51	0.2737709881
52	0.2732408977
53	0.2723136758
54	0.2713195227
55	0.270860247
56	0.2679660225
57	0.2663659538
58	0.2648906492
59	0.2639927572
60	0.2589674383
61	0.2585831685
62	0.2578988853
63	0.2568986224
64	0.2568713701
65	0.2554646636
66	0.2531523786
67	0.2526844074
68	0.2524425963
69	0.2518799226
70	0.2516823068
71	0.2515359403
72	0.2513626299
73	0.250979023
74	0.2499641852
75	0.2490670996
76	0.2487538528
77	0.2484249793
78	0.2477109819
79	0.247102056
80	0.2459458836
81	0.2447008788
82	0.2445006025
83	0.244186647
84	0.2432189997
85	0.2426835235
86	0.241921803
87	0.2410618064
88	0.2385962157
89	0.2383235051
90	0.2379882971
91	0.2374744033
92	0.2373187649
93	0.2364180834
94	0.2357906464
95	0.2352891344
96	0.2352756794
97	0.2351375665
98	0.2340904632
99	0.2340361268
