iter	Passed	Remaining
0	1538	152265
1	3020	148006
2	4541	146830
3	5984	143639
4	7724	146767
5	8504	133233
6	10589	140694
7	11731	134916
8	12718	128601
9	13208	118873
10	14392	116446
11	15374	112744
12	16563	110846
13	17708	108782
14	18650	105684
15	19868	104308
16	21076	102902
17	22491	102460
18	24051	102536
19	25236	100944
20	27321	102781
21	28019	99340
22	28839	96551
23	28877	91444
24	30155	90466
25	31221	88861
26	32527	87944
27	33611	86429
28	34799	85199
29	34992	81648
30	36094	80340
31	36557	77684
32	37583	76305
33	38731	75183
34	39886	74074
35	41097	73061
36	42617	72564
37	43733	71355
38	44988	70366
39	46449	69673
40	48134	69266
41	49400	68219
42	50828	67376
43	52317	66585
44	53272	65110
45	54651	64156
46	55915	63053
47	57116	61875
48	58571	60962
49	60192	60192
50	62403	59955
51	64071	59142
52	65366	57966
53	66974	57052
54	68216	55813
55	69545	54642
56	71049	53598
57	72275	52337
58	73626	51163
59	74931	49954
60	76059	48628
61	77217	47326
62	78649	46191
63	79830	44904
64	80973	43601
65	82375	42435
66	84029	41387
67	85491	40231
68	86894	39039
69	88173	37788
70	89550	36576
71	90905	35352
72	92173	34091
73	93481	32844
74	94679	31559
75	95707	30223
76	97067	28994
77	98415	27758
78	99706	26504
79	101080	25270
80	102347	24007
81	103901	22807
82	105243	21555
83	106609	20306
84	107911	19043
85	109263	17787
86	110531	16516
87	111750	15238
88	112841	13946
89	114165	12685
90	115393	11412
91	116305	10113
92	117382	8835
93	118469	7561
94	119330	6280
95	120427	5017
96	121645	3762
97	122873	2507
98	124161	1254
99	125183	0
