UNIQ_ID,mod_year,age,hour,drunk_dr,numoccs,deformed,motorcycle,rollover_binary,air_bag_deployed,speedrel_binary,fatality_target
10001_1_1,2003,68,2.0,1,1,6.0,0,0,1,0,1
10002_1_1,2006,49,22.0,0,1,6.0,0,1,0,1,1
10003_1_1,2008,31,1.0,1,2,6.0,0,1,1,0,1
10003_1_2,2008,20,1.0,1,2,6.0,0,1,1,0,0
10004_1_1,2005,40,0.0,1,1,6.0,0,0,0,0,1
10005_1_1,2006,24,7.0,0,1,6.0,0,1,0,0,1
10005_2_1,2015,60,7.0,0,1,6.0,0,0,0,0,0
10006_1_1,2006,64,9.0,0,2,6.0,0,1,0,0,1
10006_1_2,2006,17,9.0,0,2,6.0,0,1,0,0,0
10009_1_1,2000,35,8.0,0,1,6.0,0,1,1,0,1
10010_1_1,2004,80,18.0,0,1,6.0,0,0,1,0,1
10010_2_1,2003,64,18.0,0,1,6.0,0,0,1,0,0
10011_1_1,2005,17,20.0,0,1,4.0,0,0,0,0,0
10011_2_1,2002,42,20.0,0,1,6.0,0,1,0,0,1
10012_1_1,1997,23,6.0,0,1,6.0,0,0,1,0,0
10012_2_1,2003,32,6.0,0,4,6.0,0,0,0,0,0
10012_2_2,2003,54,6.0,0,4,6.0,0,0,0,0,0
10012_2_3,2003,27,6.0,0,4,6.0,0,0,0,0,0
10012_2_4,2003,58,6.0,0,4,6.0,0,0,0,0,0
10012_3_1,2010,27,6.0,0,1,6.0,0,0,1,0,1
10013_1_1,2007,55,10.0,1,1,6.0,0,1,1,1,1
10014_1_1,1999,18,6.0,1,1,6.0,0,1,0,0,1
10015_1_1,2004,33,8.0,0,1,6.0,0,1,0,1,1
10016_1_1,1999,60,17.0,0,1,4.0,0,0,0,0,0
10016_2_1,1998,79,17.0,0,1,6.0,0,0,0,0,1
10017_1_1,2008,86,14.0,0,1,6.0,0,0,1,0,1
10018_1_1,1992,46,19.0,1,2,6.0,0,0,0,0,0
10018_1_2,1992,34,19.0,1,2,6.0,0,0,0,0,1
10019_1_1,2002,21,1.0,0,1,6.0,0,1,0,1,1
10020_1_1,2006,80,17.0,0,2,6.0,0,0,0,0,0
10020_1_2,2006,90,17.0,0,2,6.0,0,0,0,0,1
10020_2_1,1993,50,17.0,0,1,6.0,0,0,0,0,0
10021_1_1,2014,66,13.0,0,2,6.0,0,0,1,0,0
10021_1_2,2014,85,13.0,0,2,6.0,0,0,1,0,1
10021_2_1,2007,70,13.0,0,2,6.0,0,0,0,0,0
10021_2_2,2007,67,13.0,0,2,6.0,0,0,0,0,0
10022_1_1,2002,62,6.0,0,2,6.0,0,1,0,0,1
10023_1_1,2003,27,21.0,1,1,6.0,0,0,1,1,1
10024_1_1,2003,35,6.0,0,1,6.0,0,0,1,0,1
10027_1_1,2014,69,14.0,0,1,6.0,0,0,1,0,1
10027_2_1,2012,25,14.0,0,2,6.0,0,1,1,0,0
10028_1_1,2001,36,0.0,1,1,6.0,0,1,0,0,1
10029_1_1,2005,24,5.0,0,1,6.0,0,0,0,1,1
10030_2_1,2014,37,13.0,0,1,6.0,0,0,1,0,1
10031_1_1,2003,51,16.0,0,1,2.0,0,0,0,0,0
10032_1_1,2006,27,6.0,1,1,6.0,0,1,0,1,1
10034_1_1,2007,38,14.0,1,1,6.0,0,0,1,0,0
10034_2_1,2008,50,14.0,1,3,6.0,0,0,1,0,0
10034_2_2,2008,78,14.0,1,3,6.0,0,0,1,0,0
10034_2_3,2008,79,14.0,1,3,6.0,0,0,1,0,1
10034_3_1,2003,40,14.0,1,2,6.0,0,0,0,0,0
10034_3_2,2003,11,14.0,1,2,6.0,0,0,0,0,0
10034_4_1,2007,69,14.0,1,1,6.0,0,0,0,0,0
10034_5_1,2009,72,14.0,1,2,6.0,0,0,0,0,0
10034_5_2,2009,68,14.0,1,2,6.0,0,0,0,0,0
10034_6_1,2008,63,14.0,1,1,6.0,0,0,0,0,0
10035_2_1,2008,91,9.0,0,1,6.0,0,0,1,0,1
